time_s,fid_source_v,adc_differential_v
0.0173414,-4.94888937e-07,-0.0001934599999997566
0.0173464,-4.36463663e-07,-0.00020773000000007258
0.0173514,-3.76087536e-07,-0.00022118999999998223
0.0173564,-3.14030525e-07,-0.000233769999999911
0.0173614,-2.5057011e-07,-0.00024541999999971864
0.0173664,-1.85990041e-07,-0.0002560799999997698
0.0173714,-1.20579075e-07,-0.00026570999999986356
0.0173764,-5.46296774e-08,-0.0002742599999998596
0.0173814,1.15632799e-08,-0.00028169999999994033
0.0173864,7.770384e-08,-0.0002879899999999047
0.0173914,1.43496283e-07,-0.0002931099999998743
0.0173964,2.0864645e-07,-0.0002970200000000922
0.0174014,2.72863054e-07,-0.00029972000000011434
0.0174064,3.35858987e-07,-0.00030120000000000147
0.0174114,3.97352603e-07,-0.0003014299999999359
0.0174164,4.57068973e-07,-0.00030042999999979614
0.0174214,5.14741119e-07,-0.0002982000000000262
0.0174264,5.70111205e-07,-0.0002947500000001213
0.0174314,6.22931692e-07,-0.0002900900000000206
0.0174364,6.72966441e-07,-0.0002842499999999859
0.0174414,7.19991771e-07,-0.00027724999999989564
0.0174464,7.63797461e-07,-0.00026912000000001157
0.0174514,8.04187683e-07,-0.0002598899999997073
0.0174564,8.40981888e-07,-0.00024961999999995044
0.0174614,8.74015602e-07,-0.0002383500000000538
0.0174664,9.03141168e-07,-0.00022610999999983505
0.0174714,9.28228404e-07,-0.0002129900000000795
0.0174764,9.49165186e-07,-0.00019901999999971665
0.0174814,9.65857947e-07,-0.0001842700000000974
0.0174864,9.78232097e-07,-0.0001688099999999082
0.0174914,9.86232356e-07,-0.00015270000000011663
0.0174964,9.89822999e-07,-0.00013602999999973164
0.0175014,9.8898802e-07,-0.00011885999999972086
0.0175064,9.83731198e-07,-0.00010127000000004216
0.0175114,9.74076083e-07,-8.333999999976527e-05
0.0175164,9.6006589e-07,-6.514999999973625e-05
0.0175214,9.41763306e-07,-4.676999999997378e-05
0.0175264,9.19250209e-07,-2.8299999999870096e-05
0.0175314,8.92627301e-07,-9.81999999982719e-06
0.0175364,8.62013659e-07,8.600000000136276e-06
0.0175414,8.275462e-07,2.686000000018396e-05
0.0175464,7.89379073e-07,4.490000000023642e-05
0.0175514,7.47682965e-07,6.262000000001322e-05
0.0175564,7.0264434e-07,7.994999999993979e-05
0.0175614,6.54464605e-07,9.681000000005824e-05
0.0175664,6.03359209e-07,0.00011311999999996658
0.0175714,5.49556679e-07,0.00012882000000002947
0.0175764,4.93297599e-07,0.000143830000000289
0.0175814,4.34833535e-07,0.00015809000000022166
0.0175864,3.74425908e-07,0.00017153000000025287
0.0175914,3.12344825e-07,0.00018409000000030318
0.0175964,2.48867875e-07,0.00019571000000029315
0.0176014,1.84278883e-07,0.0002063500000000218
0.0176064,1.18866644e-07,0.00021595000000029785
0.0176114,5.29236308e-08,0.00022447999999997137
0.0176164,-1.32553147e-08,0.0002318900000002344
0.0176214,-7.9374298e-08,0.00023814999999993702
0.0176264,-1.45137696e-07,0.00024323000000014972
0.0176314,-2.10251478e-07,0.0002471200000000451
0.0176364,-2.74424522e-07,0.00024979000000024953
0.0176414,-3.37369915e-07,0.00025122999999993567
0.0176464,-3.98806235e-07,0.00025143999999999167
0.0176514,-4.5845881e-07,0.0002504100000000342
0.0176564,-5.16060949e-07,0.0002481400000000633
0.0176614,-5.71355127e-07,0.0002446599999998966
0.0176664,-6.24094145e-07,0.00023996999999997826
0.0176714,-6.74042228e-07,0.00023410000000012587
0.0176764,-7.20976083e-07,0.00022707000000021793
0.0176814,-7.64685898e-07,0.0002189100000000721
0.0176864,-8.04976275e-07,0.00020965999999988938
0.0176914,-8.41667109e-07,0.00019935999999987075
0.0176964,-8.74594389e-07,0.00018806000000015644
0.0177014,-9.03610935e-07,0.00017580999999999847
0.0177064,-9.28587052e-07,0.00016265999999998115
0.0177114,-9.49411112e-07,0.00014867000000018393
0.0177164,-9.65990053e-07,0.00013390000000024216
0.0177214,-9.78249794e-07,0.0001184200000001745
0.0177264,-9.86135565e-07,0.00010229999999999961
0.0177314,-9.89612155e-07,8.561000000018026e-05
0.0177364,-9.88664066e-07,6.843000000023025e-05
0.0177414,-9.83295584e-07,5.083000000016824e-05
0.0177464,-9.73530758e-07,3.2889999999952124e-05
0.0177514,-9.59413294e-07,1.4689999999983883e-05
0.0177564,-9.41006357e-07,-3.6799999998393673e-06
0.0177614,-9.18392293e-07,-2.214999999994305e-05
0.0177664,-8.91672254e-07,-4.063999999992518e-05
0.0177714,-8.60965753e-07,-5.904999999994942e-05
0.0177764,-8.26410121e-07,-7.73099999999971e-05
0.0177814,-7.88159901e-07,-9.534000000011034e-05
0.0177864,-7.46386153e-07,-0.00011304999999994791
0.0177914,-7.01275686e-07,-0.00013036999999993526
0.0177964,-6.53030229e-07,-0.00014722000000011448
0.0178014,-6.01865525e-07,-0.0001635200000000836
0.0178064,-5.48010367e-07,-0.00017920999999976317
0.0178114,-4.91705572e-07,-0.00019419999999970017
0.0178164,-4.33202912e-07,-0.00020843999999975438
0.0178214,-3.7276398e-07,-0.0002218499999999679
0.0178264,-3.10659024e-07,-0.00023438999999969568
0.0178314,-2.47165738e-07,-0.0002459899999998072
0.0178364,-1.8256802e-07,-0.00025659999999971816
0.0178414,-1.17154705e-07,-0.00026618000000011577
0.0178464,-5.12182697e-08,-0.0002746799999999716
0.0178514,1.4946473e-08,-0.0002820599999999729
0.0178564,8.10436923e-08,-0.0002882899999998578
0.0178614,1.46777862e-07,-0.000293349999999748
0.0178664,2.11855084e-07,-0.00029719999999988644
0.0178714,2.75984398e-07,-0.00029983999999982913
0.0178764,3.38879086e-07,-0.0003012499999996976
0.0178814,4.00257955e-07,-0.0003014299999999359
0.0178864,4.59846589e-07,-0.0003003699999997167
0.0178914,5.17378582e-07,-0.0002980699999999281
0.0178964,5.72596724e-07,-0.00029455999999994376
0.0179014,6.25254155e-07,-0.0002898399999997636
0.0179064,6.75115466e-07,-0.00028394000000009356
0.0179114,7.21957751e-07,-0.00027687999999992385
0.0179164,7.65571608e-07,-0.00026868999999996035
0.0179214,8.05762068e-07,-0.0002594199999998992
0.0179264,8.42349472e-07,-0.00024909000000006287
0.0179314,8.75170273e-07,-0.00023777000000002602
0.0179364,9.04077766e-07,-0.00022549000000005037
0.0179414,9.28942744e-07,-0.00021231999999971052
0.0179464,9.49654076e-07,-0.00019830000000009562
0.0179514,9.66119203e-07,-0.00018351999999977053
0.0179564,9.78264555e-07,-0.00016801999999982442
0.0179614,9.86035872e-07,-0.0001518899999997103
0.0179664,9.89398454e-07,-0.00013518999999995174
0.0179714,9.88337315e-07,-0.00011799000000012327
0.0179764,9.82857244e-07,-0.00010038000000012204
0.0179814,9.7298279e-07,-8.243999999990592e-05
0.0179864,9.58758149e-07,-6.422999999999845e-05
0.0179914,9.40246966e-07,-4.584999999979189e-05
0.0179964,9.17532052e-07,-2.737999999968821e-05
0.0180014,8.90715012e-07,-8.900000000089392e-06
0.0180064,8.59915788e-07,9.509999999934848e-06
0.0180114,8.25272131e-07,2.776999999998253e-05
0.0180164,7.86938974e-07,4.579000000015654e-05
