frequency_hz,gain_db,phase_deg
144.211535,38.5952527,-27.583852757288465
144.543977,38.6333784,-27.645184107735773
144.877185,38.671496,-27.706642196447362
145.211162,38.7096057,-27.768227309902134
145.545908,38.7477073,-27.829939562691642
145.881426,38.7858008,-27.89177924129479
146.217717,38.8238861,-27.95374651759891
146.554784,38.8619634,-28.01584150619557
146.892628,38.9000324,-28.07806455085944
147.23125,38.9380932,-28.140415766182077
147.570653,38.9761458,-28.202895381346607
147.910839,39.0141901,-28.265503568240362
148.251809,39.0522261,-28.328240613342242
148.593564,39.0902537,-28.391106573948026
148.936108,39.1282729,-28.454101793832393
149.279441,39.1662838,-28.5172263875869
149.623566,39.2042862,-28.580480584394664
149.968484,39.2422801,-28.64386461343881
150.314197,39.2802656,-28.707378646606667
150.660707,39.3182425,-28.771022855785578
151.008015,39.3562108,-28.834797470158662
151.356125,39.3941705,-28.898702718909036
151.705037,39.4321215,-28.962738773924034
152.054753,39.4700639,-29.026905807091005
152.405275,39.5079976,-29.091204104888835
152.756606,39.5459226,-29.155633781909092
153.108746,39.5838387,-29.22019506733489
153.461698,39.6217461,-29.284888133053567
153.815464,39.6596446,-29.349713265544025
154.170045,39.6975343,-29.41467057939781
154.525444,39.735415,-29.479760303798066
154.881662,39.7732868,-29.54498266792788
155.238701,39.8111496,-29.610337843674618
155.596563,39.8490034,-29.675826002925596
155.95525,39.8868482,-29.741447374863945
156.314764,39.9246839,-29.807202188672775
156.675107,39.9625104,-29.873090558943655
157.03628,40.0003278,-29.93911277215548
157.398286,40.0381361,-30.005269000195586
157.761127,40.0759351,-30.07155941495131
158.124804,40.1137248,-30.137984302901543
158.489319,40.1515053,-30.204543721342084
158.854675,40.1892764,-30.27123795675181
159.220873,40.2270382,-30.338067181018083
159.587915,40.2647905,-30.405031623323993
159.955803,40.3025335,-30.472131455556898
160.324539,40.3402669,-30.53936690689991
160.694125,40.3779909,-30.606738149240368
161.064564,40.4157053,-30.67424535446561
161.435856,40.4534102,-30.741888751758754
161.808004,40.4911054,-30.809668513007143
162.18101,40.528791,-30.87758486739388
162.554876,40.5664669,-30.94563804410211
162.929603,40.6041331,-31.01382815772337
163.305195,40.6417896,-31.08215543744078
163.681652,40.6794362,-31.150620112437466
164.058977,40.717073,-31.21922235460076
